,neighborhood,year,tree_count,species_count
446,Marina,2019.0,13,9
447,Marina,2020.0,3,1
448,Mission,1973.0,12,9
449,Mission,1974.0,3,3
450,Mission,1976.0,10,10
451,Mission,1977.0,2,2
452,Mission,1979.0,3,3
453,Mission,1980.0,12,6
454,Mission,1981.0,23,9
455,Mission,1982.0,29,10
456,Mission,1983.0,98,19
457,Mission,1984.0,25,7
458,Mission,1985.0,64,10
459,Mission,1986.0,165,22
460,Mission,1987.0,244,33
461,Mission,1988.0,64,23
462,Mission,1989.0,71,28
463,Mission,1990.0,54,20
464,Mission,1991.0,136,37
465,Mission,1992.0,187,38
466,Mission,1993.0,78,30
467,Mission,1994.0,156,42
468,Mission,1995.0,193,37
469,Mission,1996.0,368,58
470,Mission,1997.0,262,53
471,Mission,1998.0,464,72
472,Mission,1999.0,223,53
473,Mission,2000.0,268,55
474,Mission,2001.0,164,44
475,Mission,2002.0,255,57
476,Mission,2003.0,235,56
477,Mission,2004.0,136,39
478,Mission,2005.0,225,60
479,Mission,2006.0,122,38
480,Mission,2007.0,355,50
481,Mission,2008.0,268,51
482,Mission,2009.0,194,55
483,Mission,2010.0,85,35
484,Mission,2011.0,176,53
485,Mission,2012.0,74,34
486,Mission,2013.0,64,25
487,Mission,2014.0,115,36
488,Mission,2015.0,271,65
489,Mission,2016.0,176,64
490,Mission,2017.0,84,41
491,Mission,2018.0,97,41
492,Mission,2019.0,42,19
493,Mission,2020.0,2,2
494,Nob Hill,1956.0,4,1
495,Nob Hill,1969.0,13,4
496,Nob Hill,1972.0,5,5
497,Nob Hill,1973.0,1,1
498,Nob Hill,1974.0,2,1
499,Nob Hill,1976.0,10,7
500,Nob Hill,1977.0,4,4
501,Nob Hill,1978.0,3,3
502,Nob Hill,1979.0,6,3
503,Nob Hill,1980.0,10,2
504,Nob Hill,1981.0,5,4
505,Nob Hill,1982.0,11,4
506,Nob Hill,1983.0,6,5
507,Nob Hill,1984.0,3,3
508,Nob Hill,1985.0,7,2
509,Nob Hill,1986.0,44,14
510,Nob Hill,1987.0,15,10
511,Nob Hill,1988.0,16,10
512,Nob Hill,1989.0,27,11
513,Nob Hill,1990.0,54,16
514,Nob Hill,1991.0,50,23
515,Nob Hill,1992.0,42,18
516,Nob Hill,1993.0,28,16
517,Nob Hill,1994.0,48,22
518,Nob Hill,1995.0,103,26
519,Nob Hill,1996.0,47,17
520,Nob Hill,1997.0,51,15
521,Nob Hill,1998.0,103,31
522,Nob Hill,1999.0,34,15
523,Nob Hill,2000.0,104,36
524,Nob Hill,2001.0,14,11
525,Nob Hill,2002.0,73,20
