year,neighborhood,most_popular_species,species_count
1990,Rincon Hill, Indian Laurel Fig Tree 'Green Gem',1
1990,SoMa, Brisbane Box,5
1990,South Beach, Australian Willow,4
1990,Sunset, Bronze Loquat,7
1990,Taraval, Bailey's Acacia,8
1990,Tenderloin, Blackwood Acacia,14
1990,Twin Peaks, Brisbane Box,8
1991,Bayshore, Brisbane Box,7
1991,Bayview, Lemon Bottlebrush,3
1991,Castro, Bailey's Acacia,12
1991,Chinatown, Brisbane Box,2
1991,Ingleside, California Buckeye,6
1991,Inner Richmond, American Sweet Gum,17
1991,Lake Merced, Brazilian Pepper,1
1991,Lower Pacific Heights, Ash,25
1991,Marina, Blackwood Acacia,4
1991,Mission, American Sweet Gum,16
1991,Nob Hill, Bailey's Acacia,6
1991,North Beach, American Sweet Gum,2
1991,Outer Richmond, Evergreen Pear,3
1991,Panhandle, Bailey's Acacia,10
1991,Portola, Brisbane Box,2
1991,Rincon Hill, Brisbane Box,3
1991,SoMa, Brisbane Box,5
1991,South Beach, Bronze Loquat,2
1991,Sunset, Blackwood Acacia,1
1991,Taraval, Cajeput,1
1991,Tenderloin, Brisbane Box,11
1991,Twin Peaks, Bailey's Acacia,3
1992,Bayshore, American Sweet Gum,13
1992,Bayview, Aristocrat Callery Pear,19
1992,Castro, Australian Willow,10
1992,Financial District, Red Flowering Gum,2
1992,Ingleside, Brazilian Pepper,21
1992,Inner Richmond, American Sweet Gum,10
1992,Lake Merced, Brisbane Box,7
1992,Lower Pacific Heights, American Sweet Gum,36
1992,Marina, Indian Laurel Fig Tree 'Green Gem',3
1992,Mission, American Sweet Gum,29
1992,Nob Hill, Bailey's Acacia,4
1992,North Beach, Banyan Fig,3
1992,Outer Richmond, Bailey's Acacia,14
1992,Panhandle, Bailey's Acacia,19
1992,Portola, Brisbane Box,6
1992,Rincon Hill, Southern Magnolia,3
1992,SoMa, Banyan Fig,1
1992,South Beach, African Sumac,9
1992,Sunset, Australian Tea Tree,13
1992,Taraval, American Sweet Gum,5
1992,Tenderloin, Brisbane Box,7
1992,Twin Peaks, Australian Willow,21
1993,Bayshore, Cherry Plum,5
1993,Bayview, Aristocrat Callery Pear,8
1993,Castro, Australian Willow,31
1993,Chinatown, Indian Laurel Fig Tree 'Green Gem',2
1993,Financial District, Evergreen Pear,2
1993,Ingleside, Australian Tea Tree,20
1993,Inner Richmond, American Sweet Gum,26
1993,Lake Merced, Brisbane Box,4
1993,Lower Pacific Heights, American Sweet Gum,12
1993,Marina, Banyan Fig,10
1993,Mission, Australian Tea Tree,10
1993,Nob Hill, Angel trumpet,6
1993,North Beach, Cajeput,11
1993,Outer Richmond, American Sweet Gum,31
1993,Panhandle, Banyan Fig,6
1993,Portola, Brazilian Pepper,6
1993,Rincon Hill, Sycamore: London Plane,3
1993,SoMa, Canary Island Date Palm,14
1993,South Beach, Bronze Loquat,3
1993,Sunset, Australian Tea Tree,20
1993,Taraval, Australian Tea Tree,19
1993,Tenderloin, Banyan Fig,10
1993,Twin Peaks, Bailey's Acacia,7
1994,Bayshore, Brisbane Box,8
1994,Bayview, Brisbane Box,2
1994,Castro, Bailey's Acacia,1
1994,Financial District, Canary Island Date Palm,22
1994,Ingleside, American Sweet Gum,15
1994,Inner Richmond, Brisbane Box,24
1994,Lake Merced, Brisbane Box,17
1994,Lower Pacific Heights, Brazilian Pepper,9
1994,Marina, Banyan Fig,13
1994,Mission, Australian Willow,23
1994,Nob Hill, Banyan Fig,5
1994,North Beach, American Sweet Gum,1
1994,Outer Richmond, Australian Willow,15
1994,Panhandle, Bailey's Acacia,8
1994,Portola, Lemon Bottlebrush,1
1994,Rincon Hill, Brisbane Box,1
1994,SoMa, American Sweet Gum,14
1994,South Beach, Brisbane Box,16
1994,Sunset, American Sweet Gum,38
1994,Taraval, American Sweet Gum,31
1994,Tenderloin, Bailey's Acacia,9
1994,Twin Peaks, Brazilian Pepper,5
1995,Bayshore, Cherry Plum,23
1995,Bayview, Aristocrat Callery Pear,40
1995,Castro, American Sweet Gum,30
1995,Chinatown, Chinese Banyan,6
1995,Financial District, Brisbane Box,98
1995,Ingleside, Australian Willow,103
1995,Inner Richmond, American Sweet Gum,9
1995,Lake Merced, Australian Tea Tree,15
1995,Lower Pacific Heights, Banyan Fig,23
1995,Marina, Aristocrat Callery Pear,5
1995,Mission, American Sweet Gum,25
1995,Nob Hill, Banyan Fig,17
1995,North Beach, American Sweet Gum,9
1995,Outer Richmond, Brazilian Pepper,6
1995,Panhandle, American Sweet Gum,13
1995,Portola, American Elm,12
1995,Rincon Hill, Brisbane Box,3
1995,SoMa, Australian Willow,49
1995,South Beach, American Sweet Gum,81
1995,Sunset, Australian Tea Tree,11
1995,Taraval, Australian Tea Tree,99
1995,Tenderloin, Ash Spp,54
1995,Twin Peaks, Bailey's Acacia,23
1996,Bayshore, Freeman Maple,16
1996,Bayview, Banyan Fig,12
1996,Castro, American Sweet Gum,31
1996,Chinatown, Australian Tea Tree,13
1996,Financial District, Canary Island Date Palm,47
1996,Ingleside, American Sweet Gum,39
1996,Inner Richmond, Brisbane Box,17
1996,Lake Merced, Hybrid Strawberry Tree,4
1996,Lower Pacific Heights, Blackwood Acacia,10
1996,Marina, Bailey's Acacia,12
1996,Mission, American Sweet Gum,40
1996,Nob Hill, Brisbane Box,12
1996,North Beach, Bailey's Acacia,5
