species,address,latitude,longitude
Cherry Plum,125 San Rafael Way,37.7327258813973,-122.470416789299
Swamp Myrtle,1371 27th Ave,37.761877732989,-122.48567554148
Cherry Plum,924 Irving St,37.7640518745164,-122.467888297711
Swamp Myrtle,132 Brewster St,37.7444906190493,-122.407096884714
Sycamore: London Plane,1113 Taylor St,37.79266175049,-122.41274879554
Swamp Myrtle,1 27th St,37.7471576573064,-122.421428163818
New Zealand Xmas Tree,2900 Wawona St,37.7365438352192,-122.498390295245
Sycamore: London Plane,1960 09th Ave,37.7520389797303,-122.465399584039
Sycamore: London Plane,550 CHESTNUT ST,37.8039013133931,-122.412585177239
Brisbane Box,65 DORADO TER,37.726682108611,-122.460867219896
New Zealand Xmas Tree,1487 25th Ave,37.7598156946522,-122.48340093827
New Zealand Xmas Tree,49 Seacliff Ave,37.7888567944531,-122.485899930456
Sycamore: London Plane,150 California St,37.793502906964,-122.39822051039
Sycamore: London Plane,115 Valencia St,37.7712854203131,-122.422386481876
Brisbane Box,1198 Valencia St,37.7537454336429,-122.420906369809
Swamp Myrtle,711 22nd St,37.7578614341223,-122.388426186906
New Zealand Xmas Tree,2100 Ellis St,37.7813601452405,-122.440922688091
Sycamore: London Plane,800 Chestnut St,37.8033851910357,-122.416754687086
Swamp Myrtle,731 Cortland Ave,37.7389846057907,-122.414974479363
Brisbane Box,1263 Fell St,37.7738634969317,-122.438672009814
Brisbane Box,1764 Haight St,37.76974439003,-122.451253672757
Sycamore: London Plane,940 Taylor St,37.7919151477257,-122.412439662586
Swamp Myrtle,27 Bridgeview Dr,37.7344388515748,-122.393992476471
Swamp Myrtle,1147 Sanchez St,37.75082369093,-122.429492581147
Brisbane Box,644 Mission St,37.7873780059407,-122.40073782081
Brisbane Box,723 35th Ave,37.7753247533513,-122.495226484867
Cherry Plum,500 Corbett Ave,37.7577735947767,-122.444658701666
Swamp Myrtle,1801 Ocean Ave,37.7249110449395,-122.461474300075
Sycamore: London Plane,544 Delancey St,37.7840211379997,-122.390434339397
Swamp Myrtle,890X Oak St,37.7736552189399,-122.433879214955
Brisbane Box,2355 Folsom St,37.7596812979599,-122.414668999194
Brisbane Box,5175 Diamond Heights Blvd,37.7462760098256,-122.440045738628
New Zealand Xmas Tree,2700 Sloat Blvd,37.7355369547755,-122.503068116639
Brisbane Box,1230 Vermont St,37.7540433227835,-122.403575462068
New Zealand Xmas Tree,2612 42nd Ave,37.7376212399918,-122.499957908287
Brisbane Box,3531 22nd St,37.7549321527044,-122.42629214668
New Zealand Xmas Tree,84 COMMONWEALTH AVE,37.7845427685934,-122.455657414651
Brisbane Box,2642 03rd St,37.7562060271035,-122.388228384244
Brisbane Box,1331 Columbus Ave,37.8065370584924,-122.41935958779
Cherry Plum,50 Ashbury Ter,37.7646961614423,-122.445031867982
Cherry Plum,69 Sussex St,37.7371011838827,-122.434261878403
Sycamore: London Plane,2 Folsom St,37.7908430231508,-122.390090033136
Brisbane Box,246 02nd St,37.7857706602386,-122.397135953267
Sycamore: London Plane,2378 Market St,37.7630725425418,-122.434792986829
Brisbane Box,501 Donahue St,37.7283237638216,-122.37051506831
New Zealand Xmas Tree,38 Masonic Ave,37.7652765307992,-122.442713090033
Cherry Plum,4682 19th St,37.7590249815329,-122.441948400061
Brisbane Box,451 Donahue St,37.7294758223376,-122.369467779931
Sycamore: London Plane,1561x Steiner St,37.7836579383741,-122.434544807554
Swamp Myrtle,1336 Sanchez St,37.747770450123,-122.429379959099
New Zealand Xmas Tree,1624 Oakdale Ave,37.7351167642063,-122.39093562428
Brisbane Box,2190X North Point St,37.8028510037355,-122.443247276641
Sycamore: London Plane,1150 MARKET ST,37.7796631277289,-122.413693495106
New Zealand Xmas Tree,1538 44th Ave,37.757925833056,-122.503531268791
New Zealand Xmas Tree,2401x Sutter St,37.7846586481563,-122.439914057191
New Zealand Xmas Tree,1247 Palou Ave,37.7301757687259,-122.384357951268
Sycamore: London Plane,400 Market St,37.7924506166945,-122.397437429611
New Zealand Xmas Tree,4444 Geary Blvd,37.7810742673029,-122.467185283133
Swamp Myrtle,618 Fell St,37.7753379822624,-122.428226083232
New Zealand Xmas Tree,1X HIGUERA AVE,37.7191979850677,-122.483852684784
Swamp Myrtle,139 Capistrano Ave,37.7284886706995,-122.43718116229
Cherry Plum,772 Head St,37.7211252885031,-122.464387798146
New Zealand Xmas Tree,1126 Shrader St,37.7642723361366,-122.451063239472
Sycamore: London Plane,3080 19th Ave,37.7313299761991,-122.474726983585
Cherry Plum,100 STAIRWAY51,,
Brisbane Box,1321 Mission St,37.7759913537931,-122.414931236282
Cherry Plum,2426 24th St,37.7532175772432,-122.403903777036
Sycamore: London Plane,881 Jamestown Ave,37.7181467630545,-122.393157432565
Sycamore: London Plane,1186 Noe St,37.7502097371068,-122.431853988583
New Zealand Xmas Tree,1396 La Playa St,37.7603777089466,-122.509057703423
Cherry Plum,101 Leese St,37.7359387074275,-122.423057847038
Sycamore: London Plane,1333 GOUGH ST,37.7858511121192,-122.424874473727
New Zealand Xmas Tree,2028 MCALLISTER ST,37.7769563298733,-122.445461097507
Cherry Plum,265 Dorland St,37.7620485075454,-122.429884491233
Swamp Myrtle,2038 Balboa St,37.7766123371313,-122.481044705999
Sycamore: London Plane,450x The Embarcadero,37.7954424362789,-122.394341609479
Sycamore: London Plane,1200X Evans Ave,37.7395401020993,-122.382282630765
Brisbane Box,1201 Mission St,37.7772285387915,-122.413278069923
Brisbane Box,2250 Mission St,37.7612407013263,-122.419413184462
Brisbane Box,495 Keith St,37.7370851667986,-122.382371245383
New Zealand Xmas Tree,3747 Lawton St,37.7567191657821,-122.503373541816
New Zealand Xmas Tree,805 Lake St,37.786447275102,-122.468184423506
Brisbane Box,93 Westbrook Ct,37.734964889641,-122.382981843975
Brisbane Box,338 Ortega St,37.7528398269164,-122.467445020094
Brisbane Box,325 09th St,37.7735168847176,-122.411158642161
New Zealand Xmas Tree,1305X Sunset Blvd,37.7626280043626,-122.495708151398
Sycamore: London Plane,248 Broadway,37.7986269985983,-122.401303488967
Brisbane Box,1310 Minnesota St,37.7538764583495,-122.389932621087
Cherry Plum,45 Lunado Way,37.7225874924291,-122.471472471165
New Zealand Xmas Tree,87 Beaver St,37.7648986320941,-122.435126053131
Brisbane Box,1299 Cesar Chavez St,37.7500505146893,-122.390401336874
Brisbane Box,260 Madrid St,37.7249194341684,-122.430408699814
